Data_Hora,Instancia,Algoritmo,Parametros_Algoritmo,Semente_Mestra,Tempo_Medio_ms,Media_NetProfit,Media_Custo_Equivalente,LB_Cost_Paper,Gap(%),Melhor_NetProfit,Melhor_Custo_Equivalente,Alpha_Melhor_Custo
2026-07-13 15:43:55,K400.2,Guloso Puro,"N/A",2537033304,0.00445,12558.70,505884.30,477073,2.961,27244,491199,N/A
2026-07-13 15:43:55,K400.2,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.12874,7576.66,510866.34,477073,0.538,38801,479642,0.100000
2026-07-13 15:43:55,K400.2,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.12302,8391.68,510051.32,477073,0.538,38801,479642,0.300000
2026-07-13 15:43:55,K400.2,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.11716,7144.13,511298.87,477073,0.538,38801,479642,0.500000
2026-07-13 15:43:55,K400.2,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.18820,7487.10,510955.90,477073,0.538,38801,479642,0.800000
2026-07-13 15:43:55,K400.2,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.94239,7833.48,510609.52,477073,0.538,38801,479642,0.100000
2026-07-13 15:43:55,K100.3,Guloso Puro,"N/A",2537033304,0.00109,7206.20,137142.80,115953,0.000,28396,115953,N/A
2026-07-13 15:43:55,K100.3,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.06858,8347.41,136001.59,115953,0.000,28396,115953,0.100000
2026-07-13 15:43:55,K100.3,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.06622,8591.14,135757.86,115953,0.000,28396,115953,0.300000
2026-07-13 15:43:55,K100.3,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.06489,7165.14,137183.86,115953,0.000,28396,115953,0.500000
2026-07-13 15:43:55,K100.3,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.06331,7324.49,137024.51,115953,0.000,28396,115953,0.800000
2026-07-13 15:43:55,K100.3,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.34085,7774.59,136574.41,115953,0.000,28396,115953,0.100000
2026-07-13 15:43:55,K400.8,Guloso Puro,"N/A",2537033304,0.00315,940.30,440621.70,418614,3.995,6226,435336,N/A
2026-07-13 15:43:55,K400.8,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.12536,4787.15,436774.85,418614,0.104,22514,419048,0.100000
2026-07-13 15:43:55,K400.8,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.15424,4593.81,436968.19,418614,0.104,22514,419048,0.300000
2026-07-13 15:43:55,K400.8,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.15751,5215.27,436346.73,418614,0.104,22514,419048,0.500000
2026-07-13 15:43:55,K400.8,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.10872,4319.89,437242.11,418614,0.549,20650,420912,0.800000
2026-07-13 15:43:55,K400.8,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.99341,4763.63,436798.37,418614,0.000,22948,418614,0.300000
2026-07-13 15:43:55,K100.6,Guloso Puro,"N/A",2537033304,0.00139,5674.90,154217.10,132886,5.577,19595,140297,N/A
2026-07-13 15:43:55,K100.6,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.06104,4969.61,154922.39,132886,0.000,27006,132886,0.100000
2026-07-13 15:43:55,K100.6,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.05720,4623.89,155268.11,132886,0.000,27006,132886,0.300000
2026-07-13 15:43:55,K100.6,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.05752,5179.32,154712.68,132886,0.000,27006,132886,0.500000
2026-07-13 15:43:55,K100.6,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.05717,4392.36,155499.64,132886,0.000,27006,132886,0.800000
2026-07-13 15:43:55,K100.6,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.23170,4696.54,155195.46,132886,0.000,27006,132886,0.500000
2026-07-13 15:43:55,K400.10,Guloso Puro,"N/A",2537033304,0.00514,14942.40,434021.60,394191,4.174,38319,410645,N/A
2026-07-13 15:43:55,K400.10,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.13322,6882.82,442081.18,394191,3.971,39120,409844,0.100000
2026-07-13 15:43:55,K400.10,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.12738,7362.41,441601.59,394191,4.745,36067,412897,0.300000
2026-07-13 15:43:55,K400.10,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.12060,7227.51,441736.49,394191,4.115,38551,410413,0.500000
2026-07-13 15:43:55,K400.10,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.13402,8332.58,440631.42,394191,3.886,39453,409511,0.800000
2026-07-13 15:43:55,K400.10,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.98725,7917.27,441046.73,394191,3.886,39453,409511,0.800000
